date,index_name,action,symbol,source,revid
2016-04-27,SP500,remove,GME,snapshot,717406907
2016-04-27,SP500,remove,CAM,snapshot,717406907
2016-04-27,SP500,add,ULTA,snapshot,717406907
2016-04-27,SP500,add,UA,snapshot,717406907
2016-04-27,SP500,add,GPN,snapshot,717406907
2016-04-27,SP500,add,FL,snapshot,717406907
2016-03-30,SP500,remove,POM,snapshot,712739840
2016-03-30,SP500,remove,GMCR,snapshot,712739840
2016-03-30,SP500,remove,ESV,snapshot,712739840
2016-03-30,SP500,remove,CNX,snapshot,712739840
2016-03-30,SP500,add,UDR,snapshot,712739840
2016-03-30,SP500,add,HOLX,snapshot,712739840
2016-03-30,SP500,add,CNC,snapshot,712739840
2016-03-30,SP500,add,AWK,snapshot,712739840
2016-02-19,SP500,remove,PCL,snapshot,705845275
2016-02-19,SP500,add,CXO,snapshot,705845275
2016-01-31,SP500,remove,PCP,snapshot,702590066
2016-01-31,SP500,remove,FOSL,snapshot,702590066
2016-01-31,SP500,remove,BRCM,snapshot,702590066
2016-01-31,SP500,add,WLTW,snapshot,702590066
2016-01-31,SP500,add,FRT,snapshot,702590066
2016-01-31,SP500,add,EXR,snapshot,702590066
2016-01-31,SP500,add,CFG,snapshot,702590066
2015-12-28,SP500,remove,CSC,snapshot,697200065
2015-12-28,SP500,remove,CMCSK,snapshot,697200065
2015-12-28,SP500,remove,ALTR,snapshot,697200065
2015-12-28,SP500,add,CSRA,snapshot,697200065
2015-12-28,SP500,add,CHD,snapshot,697200065
2015-11-18,SP500,remove,SIAL,snapshot,691291445
2015-11-18,SP500,remove,HCBK,snapshot,691291445
2015-11-18,SP500,remove,GNW,snapshot,691291445
2015-11-18,SP500,add,SYF,snapshot,691291445
2015-11-18,SP500,add,ILMN,snapshot,691291445
2015-11-18,SP500,add,HPE,snapshot,691291445
2015-10-12,SP500,remove,JOY,snapshot,685417487
2015-10-12,SP500,add,VRSK,snapshot,685417487
2015-09-30,SP500,remove,PLL,snapshot,683545779
2015-09-30,SP500,remove,HSP,snapshot,683545779
2015-09-30,SP500,add,UAL,snapshot,683545779
2015-09-30,SP500,add,NWS,snapshot,683545779
2015-09-30,SP500,add,FOX,snapshot,683545779
2015-09-30,SP500,add,CMCSK,snapshot,683545779
2015-09-30,SP500,add,ATVI,snapshot,683545779
2015-07-30,SP500,remove,TEG,snapshot,673815087
2015-07-30,SP500,remove,QEP,snapshot,673815087
2015-07-30,SP500,remove,NE,snapshot,673815087
2015-07-30,SP500,remove,MWV,snapshot,673815087
2015-07-30,SP500,remove,KRFT,snapshot,673815087
2015-07-30,SP500,remove,FDO,snapshot,673815087
2015-07-30,SP500,remove,DTV,snapshot,673815087
2015-07-30,SP500,remove,ATI,snapshot,673815087
2015-07-30,SP500,add,WRK,snapshot,673815087
2015-07-30,SP500,add,SIG,snapshot,673815087
2015-07-30,SP500,add,PYPL,snapshot,673815087
2015-07-30,SP500,add,KHC,snapshot,673815087
2015-07-30,SP500,add,JBHT,snapshot,673815087
2015-07-30,SP500,add,CPGX,snapshot,673815087
2015-07-30,SP500,add,BXLT,snapshot,673815087
2015-07-30,SP500,add,AAP,snapshot,673815087
2015-06-29,SP500,remove,ZMH,snapshot,669156533
2015-06-29,SP500,remove,LO,snapshot,669156533
2015-06-29,SP500,remove,GCI,snapshot,669156533
2015-06-29,SP500,remove,ACT,snapshot,669156533
2015-06-29,SP500,add,ZBH,snapshot,669156533
2015-06-29,SP500,add,TGNA,snapshot,669156533
2015-06-29,SP500,add,QRVO,snapshot,669156533
2015-06-29,SP500,add,AGN,snapshot,669156533
2015-04-29,SP500,remove,WIN,snapshot,659948745
2015-04-29,SP500,add,O,snapshot,659948745
2015-03-31,SP500,remove,PETM,snapshot,654387069
2015-03-31,SP500,remove,NBR,snapshot,654387069
2015-03-31,SP500,remove,DNR,snapshot,654387069
2015-03-31,SP500,remove,CFN,snapshot,654387069
2015-03-31,SP500,remove,AVP,snapshot,654387069
2015-03-31,SP500,remove,AGN,snapshot,654387069
2015-03-31,SP500,add,SWKS,snapshot,654387069
2015-03-31,SP500,add,SLG,snapshot,654387069
2015-03-31,SP500,add,HSIC,snapshot,654387069
2015-03-31,SP500,add,HBI,snapshot,654387069
2015-03-31,SP500,add,EQIX,snapshot,654387069
2015-03-31,SP500,add,AAL,snapshot,654387069
2015-02-20,SP500,remove,NU,snapshot,648083260
2015-02-20,SP500,add,ES,snapshot,648083260
2015-01-27,SP500,remove,WAG,snapshot,644366768
2015-01-27,SP500,remove,SWY,snapshot,644366768
2015-01-27,SP500,remove,COV,snapshot,644366768
2015-01-27,SP500,add,WBA,snapshot,644366768
2015-01-27,SP500,add,HCA,snapshot,644366768
2015-01-27,SP500,add,ENDP,snapshot,644366768
2014-12-29,SP500,remove,WLP,snapshot,640147366
2014-12-29,SP500,remove,BMS,snapshot,640147366
2014-12-29,SP500,add,RCL,snapshot,640147366
2014-12-29,SP500,add,ANTM,snapshot,640147366
2014-11-27,SP500,remove,JBL,snapshot,635593708
2014-11-27,SP500,add,LVLT,snapshot,635593708
2014-09-29,SP500,remove,RDC,snapshot,627538410
2014-09-29,SP500,remove,GHC,snapshot,627538410
2014-09-29,SP500,remove,BTU,snapshot,627538410
2014-09-29,SP500,add,URI,snapshot,627538410
2014-09-29,SP500,add,UHS,snapshot,627538410
2014-09-29,SP500,add,MNK,snapshot,627538410
2014-08-19,SP500,add,DISCK,snapshot,621944550
2014-07-23,SP500,remove,X,snapshot,618192665
2014-07-23,SP500,add,MLM,snapshot,618192665
2014-06-30,SP500,remove,IGT,snapshot,615063327
2014-06-30,SP500,remove,FRX,snapshot,615063327
2014-06-30,SP500,add,XEC,snapshot,615063327
2014-06-30,SP500,add,AMG,snapshot,615063327
2014-05-22,SP500,remove,LSI,snapshot,609712965
2014-05-22,SP500,add,NAVI,snapshot,609712965
2014-05-22,SP500,add,AVGO,snapshot,609712965
2014-04-30,SP500,remove,SLM,snapshot,606541231
2014-04-30,SP500,remove,CLF,snapshot,606541231
2014-04-30,SP500,remove,BEAM,snapshot,606541231
2014-04-30,SP500,add,UAA,snapshot,606541231
2014-04-30,SP500,add,GOOGL,snapshot,606541231
2014-04-30,SP500,add,ESS,snapshot,606541231
2014-03-26,SP500,remove,WPX,snapshot,601413159
2014-03-26,SP500,add,GMCR,snapshot,601413159
2014-02-11,SP500,remove,LIFE,snapshot,594958357
2014-02-11,SP500,add,TSCO,snapshot,594958357
2013-12-29,SP500,remove,TER,snapshot,588150360
2013-12-29,SP500,remove,MOLX,snapshot,588150360
2013-12-29,SP500,remove,LTD,snapshot,588150360
2013-12-29,SP500,remove,JDSU,snapshot,588150360
2013-12-29,SP500,remove,JCP,snapshot,588150360
2013-12-29,SP500,remove,DELL,snapshot,588150360
2013-12-29,SP500,remove,ANF,snapshot,588150360
2013-12-29,SP500,add,RIG,snapshot,588150360
2013-12-29,SP500,add,MHK,snapshot,588150360
2013-12-29,SP500,add,META,snapshot,588150360
2013-12-29,SP500,add,LB,snapshot,588150360
2013-12-29,SP500,add,GGP,snapshot,588150360
2013-12-29,SP500,add,ALLE,snapshot,588150360
2013-12-29,SP500,add,ADS,snapshot,588150360
2013-11-22,SP500,remove,SAIC,snapshot,582857985
2013-11-22,SP500,remove,NYX,snapshot,582857985
2013-11-22,SP500,remove,AMD,snapshot,582857985
2013-11-22,SP500,add,VRTX,snapshot,582857985
2013-11-22,SP500,add,CPRI,snapshot,582857985
2013-11-22,SP500,add,AME,snapshot,582857985
2013-10-27,SP500,remove,SAI,snapshot,578934961
2013-10-27,SP500,add,SAIC,snapshot,578934961
